,,,,,,,,,,,,,,,,, ml , dl , l , t , T , floz , oz , c , pt , qt , gal ,g,lb
,,,,,,,,,,,,,,,"flour, potato",," 0,72 ", 72 , 720 ," 3,6 "," 10,8 "," 21,3 "," 28,3 ", 170 , 341 , 681 , 2.725 ,1,453
,,,,,,,,,,,,,,,"flour, rice",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,"flour, semolina",," 0,74 ", 74 , 740 ," 3,7 "," 11,1 "," 21,9 "," 28,3 ", 175 , 350 , 700 , 2.801 ,1,453
,,,,,,,,,,,,,,,"flour, whole wheat",," 0,55 ", 55 , 550 ," 2,8 "," 8,3 "," 16,3 "," 28,3 ", 130 , 260 , 520 , 2.082 ,1,453
,,,,,,,,,,,,,,,"fungus, wood ear",," 0,42 ", 42 , 420 ," 2,1 "," 6,3 "," 12,4 "," 28,3 ", 99 , 199 , 397 , 1.590 ,1,453
,,,,,,,,,,,,,,,garlic powder,," 0,68 ", 68 , 680 ," 3,4 "," 10,2 "," 20,1 "," 28,3 ", 161 , 322 , 644 , 2.574 ,1,453
,,,,,,,,,,,,,,,"garlic, minced",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,gelatin,," 0,93 ", 93 , 930 ," 4,7 "," 14,0 "," 27,5 "," 28,3 ", 220 , 440 , 880 , 3.520 ,1,453
,,,,,,,,,,,,,,,"ginger root, raw",," 0,40 ", 40 , 400 ," 2,0 "," 6,0 "," 11,8 "," 28,3 ", 95 , 189 , 379 , 1.514 ,1,453
,,,,,,,,,,,,,,,"ginger root, raw, slices",," 0,41 ", 41 , 406 ," 2,0 "," 6,1 "," 12,0 "," 28,3 ", 96 , 192 , 384 , 1.536 ,1,453
,,,,,,,,,,,,,,,"ginger, crystal",," 1,02 ", 102 , 1.020 ," 5,1 "," 15,3 "," 30,2 "," 28,3 ", 241 , 483 , 965 , 3.861 ,1,453
,,,,,,,,,,,,,,,"ginger, fresh",," 0,97 ", 97 , 970 ," 4,9 "," 14,6 "," 28,7 "," 28,3 ", 229 , 459 , 918 , 3.672 ,1,453
,,,,,,,,,,,,,,,"ginger, ground",," 0,43 ", 43 , 430 ," 2,2 "," 6,5 "," 12,7 "," 28,3 ", 102 , 203 , 407 , 1.628 ,1,453
,,,,,,,,,,,,,,,"gooseberries, raw",," 0,63 ", 63 , 634 ," 3,2 "," 9,5 "," 18,8 "," 28,3 ", 150 , 300 , 600 , 2.400 ,1,453
,,,,,,,,,,,,,,,graham cracker crumbs,," 0,38 ", 38 , 380 ," 1,9 "," 5,7 "," 11,2 "," 28,3 ", 90 , 180 , 360 , 1.438 ,1,453
,,,,,,,,,,,,,,,grape nuts,," 0,51 ", 51 , 510 ," 2,6 "," 7,7 "," 15,1 "," 28,3 ", 121 , 241 , 483 , 1.931 ,1,453
,,,,,,,,,,,,,,,gumdrops,," 0,68 ", 68 , 680 ," 3,4 "," 10,2 "," 20,1 "," 28,3 ", 161 , 322 , 644 , 2.574 ,1,453
,,,,,,,,,,,,,,,gummi bears,," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,"hazelnuts, whole",," 0,72 ", 72 , 720 ," 3,6 "," 10,8 "," 21,3 "," 28,3 ", 170 , 341 , 681 , 2.725 ,1,453
,,,,,,,,,,,,,,,honey,," 1,44 ", 144 , 1.440 ," 7,2 "," 21,6 "," 42,6 "," 28,3 ", 341 , 681 , 1.363 , 5.451 ,1,453
,,,,,,,,,,,,,,,kasha,," 0,72 ", 72 , 720 ," 3,6 "," 10,8 "," 21,3 "," 28,3 ", 170 , 341 , 681 , 2.725 ,1,453
,,,,,,,,,,,,,,,ketchup,," 1,16 ", 116 , 1.160 ," 5,8 "," 17,4 "," 34,3 "," 28,3 ", 274 , 549 , 1.098 , 4.391 ,1,453
,,,,,,,,,,,,,,,lard,," 0,93 ", 93 , 930 ," 4,7 "," 14,0 "," 27,5 "," 28,3 ", 220 , 440 , 880 , 3.520 ,1,453
,,,,,,,,,,,,,,,lemon juice,," 1,03 ", 103 , 1.030 ," 5,2 "," 15,5 "," 30,5 "," 28,3 ", 244 , 487 , 975 , 3.899 ,1,453
,,,,,,,,,,,,,,,"lemon rind, grated",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,,,,,,,,,,,,,,,lentils,," 0,85 ", 85 , 850 ," 4,3 "," 12,8 "," 25,1 "," 28,3 ", 201 , 402 , 804 , 3.218 ,1,453
,,,,,,,,,,,,,,,"macaroni, uncooked",," 0,49 ", 49 , 490 ," 2,5 "," 7,4 "," 14,5 "," 28,3 ", 116 , 232 , 464 , 1.855 ,1,453
,,,,,,,,,,,,,,,"mace, ground",," 0,35 ", 35 , 353 ," 1,8 "," 5,3 "," 10,4 "," 28,3 ", 84 , 167 , 334 , 1.338 ,1,453
,,,,,,,,,,,,,,,margarine,," 0,93 ", 93 , 930 ," 4,7 "," 14,0 "," 27,5 "," 28,3 ", 220 , 440 , 880 , 3.520 ,1,453
,,,,,,,,,,,,,,,"marjoram, dried",," 0,11 ", 11 , 113 ," 0,6 "," 1,7 "," 3,4 "," 28,3 ", 27 , 54 , 107 , 429 ,1,453
,,,,,,,,,,,,,,,"marshmallows, small",," 0,21 ", 21 , 210 ," 1,1 "," 3,2 "," 6,2 "," 28,3 ", 50 , 99 , 199 , 795 ,1,453
,,,,,,,,,,,,,,,mashed potatoes,," 0,89 ", 89 , 890 ," 4,5 "," 13,4 "," 26,3 "," 28,3 ", 211 , 421 , 842 , 3.369 ,1,453
